route_no,direction_no,latitude,longitude,yaw,score,image_name,direction,,,,,
0,0,40.43822587,-80.001345,290.4264221,34,kdcPCI99FNclUe1i-tCh1Q,Head northwest on Boulevard of the Allies toward Wood St,,,,,
0,1,40.43835313,-80.00168501,290.7242126,132,lUcyBA213Yu-S18duKSMhg,Turn left onto Wood St,,,,lat ,
0,2,40.43758444,-80.0025058,214.5190887,448,o6KFUu-NQOrKNTPGcclHIA,Turn right onto Fort Pitt Blvd,,,,40.42610873,
0,3,40.43911463,-80.00720281,291.2521057,139,XuAQybYmcdyyz5EAGXrS1Q,Take the ramp on the left,,,,40.44390613,
0,4,40.43954774,-80.00862399,304.2702332,753,4XjCs55XororqXFWT4twwQ,[goal],,,,,
1,0,40.4264537,-80.01170788,356.6239624,39,BvQGTY0uuGFsC4LQnVNQGQ,Head north on Prospect St toward Wilbert St,,,,long ,
1,1,40.42678272,-80.01172537,357.520752,209,2Hxe2Z9UmDC1lSvEEy0Lew,Turn left onto Wilbert St,,,,-80.03099328,
1,2,40.42706723,-80.01401433,271.3887024,290,4p1pqCuiNmMyo5MTtw_-fA,Turn right onto Belonda St,,,,-79.99313506,
1,3,40.42911955,-80.01248737,67.31639099,87,pieavAxdtcgOPPPoKOfMQQ,Turn left onto Lowen St,,,,,
1,4,40.42967229,-80.01271762,320.6955261,375,mOL9TX7y2NF3s1UvHHT3Hw,Turn left onto Grace St,,,,,
1,5,40.42728525,-80.01518348,215.3914642,1000,G9QQkl7HOWiE4Q1tVkRYhA,[goal],,,,,
2,0,40.43298922,-80.02017727,193.1479034,15,_YUkX61Z-lh3DbW3mxTfBg,Head south on Fetterman Way toward Virginia Ave,,,,,
2,1,40.43280324,-80.02022069,193.174469,46,NVe5AQXG_2WN7a8g4BF-iA,Turn right onto Virginia Ave,,,,,
2,2,40.43272412,-80.02060105,277.2664185,636,Pm-Zuc4NQ1CMyr1Dt-KlzA,Turn right at the 1st cross street onto Oneida St,,,,,
2,3,40.43813698,-80.01944878,36.13290787,211,LfJPz4E0EgSNXqmzy8WoFA,Turn left onto Grandview Ave,,,,,
2,4,40.43918223,-80.02126308,303.0490417,14,iXh2S-76Zvy_sJR1kfpBNw,Turn left onto Sweetbriar St,,,,,
2,5,40.43930127,-80.02144614,193.1659698,922,Ed5uw4gwMo6CQlIwZd7g4w,[goal],,,,,
3,0,40.427362,-80.0151294,35.17104721,516,SfWd6TgLzDnu8uyyIW8hcg,Head northeast on Grace St toward Mann St,,,,,
3,1,40.4306807,-80.01111778,48.54154205,211,QeOSKlWG8ZjafWzfBpMQ3w,Sharp left onto Woodruff St,,,,,
3,2,40.43043202,-80.01310894,250.188324,578,z919YRfkCnah_yw4BMknig,Turn right onto Merrimac St,,,,,
3,3,40.43521041,-80.01299505,25.72613907,850,8HtzNVcw-CmJM2cfoGLr2w,Turn left onto Grandview Ave,,,,,
3,4,40.43918223,-80.02126308,303.0490417,66,iXh2S-76Zvy_sJR1kfpBNw,Turn left onto Sweetbriar St,,,,,
3,5,40.43890915,-80.02153801,193.1851807,2221,751W7GwNQptDmVCFxjGfQA,[goal],,,,,
4,0,40.42846666,-80.00637277,0.846464157,28,4hyPXbhg5V9ACnQDPfJC_g,Head north on Wyoming St toward Virginia Ave,,,,,
4,1,40.42876511,-80.00636646,1.776186228,568,Pwa12u8mQLxleIl00MbLfw,Turn left onto Virginia Ave,,,,,
4,2,40.43137761,-80.01187578,279.9777222,128,gXh2JcNibYnwbehb4d89Mg,Turn right onto Bertha St,,,,,
4,3,40.43236135,-80.01182903,15.99445629,47,2qJco85C3tfejoZA-0HabA,Turn right at the 1st cross street onto W Sycamore St,,,,,
4,4,40.43249388,-80.01151713,100.3397446,771,e5OFOdMpOSEmBcykfvLYNg,[goal],,,,,
5,0,40.42994819,-80.00825714,298.0889893,633,gyyL2vl4vzfHk74TlvyW5A,Head northwest on Virginia Ave toward Cuthbert St,,,,,
5,1,40.43194684,-80.01517239,278.8414001,49,lOhzG8peNaGN9adHGfwUTA,Turn right onto Bigham St,,,,,
5,2,40.43225406,-80.01534779,11.44554138,682,BcaX711f2UXuAO4MW1srQg,[goal],,,,,
6,0,40.43262164,-79.99688889,34.76506424,167,7Ob1OTFbpo7SviYDtEwLTw,Head northeast on Liberty Bridge,,,,,
6,1,40.43398445,-79.99594083,34.7911911,465,sDZI8QChbhPsBVLGUt45JQ,Liberty Bridge turns slightly right and becomes Crosstown Blvd,,,,,
6,2,40.43787492,-79.99417155,4.91074419,276,wi5sMgLjErDg4BprQ4TLWA,Turn left onto Forbes Ave,,,,,
6,3,40.43860617,-79.99706398,290.766449,341,hLp7w_-dgTwOIYKpnm8qBA,Turn left onto Grant St,,,,,
6,4,40.43623091,-79.9990447,218.4463654,31,1BCjCUgLmLxpFQzi8sqkkw,Take the ramp to I-376 / Fort Pitt Bridge / Airport,,,,,
6,5,40.43602538,-79.99928677,261.5589294,1280,cfYdFxkVsx1ZqpdohtWxyw,[goal],,,,,
7,0,40.43385324,-80.02074359,99.18798065,10,MeixFqT0DJ5Skn2MQeGz4Q,Head east on W Sycamore St toward Oneida St,,,,,
7,1,40.43383508,-80.02063108,99.17276764,147,KiXepJENMeU6J_2mAMEyHw,Turn left onto Oneida St,,,,,
7,2,40.43494495,-80.02027588,13.80443382,92,C8Bj9NI2A_fWYN71TvljyA,Turn right onto Piermont St,,,,,
7,3,40.43500094,-80.01935375,97.76029968,313,n-6OLiaUoDSpPhABxLMtMg,Turn right onto Meridan St,,,,,
7,4,40.43239559,-80.01977268,192.0941925,562,6EM9DTiXoQQLf07-6No1ZQ,[goal],,,,,
8,0,40.43344194,-80.02063722,12.36842251,538,FcbbsREpGVA8GsdYojmOhw,Head north on Oneida St toward W Sycamore St,,,,,
8,1,40.43813698,-80.01944878,36.13290787,192,LfJPz4E0EgSNXqmzy8WoFA,Turn right onto Grandview Ave,,,,,
8,2,40.43745254,-80.01761575,117.7528839,730,89abqKuuAbjjsczWmJYeyQ,[goal],,,,,
9,0,40.43400639,-80.00549204,298.8967896,62,Vj3DnFY9dYbykrlPhkOXAg,Head northwest on W Station Square Dr toward Commerce Dr,,,,,
9,1,40.43428478,-80.00598714,287.409729,75,HV5CKo6j-pffCkXsBX_HLg,Turn left onto Commerce Dr,,,,,
9,2,40.43397312,-80.00660236,223.6487885,296,SjoOoHpsY_GzqlCTSzPlEg,Turn left onto W Carson St,,,,,
9,3,40.4322986,-80.00422609,119.7919464,293,zUAC-y0WMghbwNtcvA0mNg,Turn left onto Smithfield St Bridge,,,,,
9,4,40.43417497,-80.00249923,33.22789383,726,2qud0TeSFmgjxX6fD5b1pA,[goal],,,,,
10,0,40.44291093,-79.99313506,229.2102203,125,x1bEasttXx3dNpRFxrBl0Q,Head southwest,,,,,
10,1,40.44204216,-79.99388587,219.6154633,316,X8dMGS-GqAilHWqSfubFXQ,Continue onto Seventh Ave,,,,,
10,2,40.44299671,-79.99724376,312.4456482,228,QlAGhbDg--I-kXmZqe5-Qg,Turn left onto Liberty Ave,,,,,
10,3,40.44247672,-79.99972132,254.9219818,195,WHjmd4P2Z-N8g7RDZnoIqA,Turn right onto 7th St,,,,,
10,4,40.44390613,-80.00056448,335.9257507,864,d4wSgXvVLusaRxJrjwlnaQ,[goal],,,,,
11,0,40.4389792,-80.00023036,110.0572052,217,ceRu6bqfGY8u6TlC8nfnJQ,Head southeast on Fourth Ave toward Smithfield St,,,,,
11,1,40.43812399,-79.99796603,109.1531372,250,zzedJjl3t_8z2qzfq_nocg,Turn right onto Grant St,,,,,
11,2,40.43623091,-79.9990447,218.4463654,40,1BCjCUgLmLxpFQzi8sqkkw,Turn right onto Fort Pitt Blvd,,,,,
11,3,40.43615043,-79.99934752,289.4919128,507,qwqJneHs6v1jvo1pS1QCtw,[goal],,,,,
12,0,40.43383445,-80.0106344,303.3600769,244,9HgvS22UMER26dHz-MxNLw,Head northwest on Grandview Ave toward Bertha St,,,,,
12,1,40.43532218,-80.01270372,278.6390076,815,L51DODecRudbdHS7Oy8-BQ,Turn right onto P. J. McArdle Roadway,,,,,
12,2,40.43158258,-80.00534308,109.9174652,1059,9J9ai3Cq7DvrLUS-tmaUZQ,[goal],,,,,
13,0,40.43287106,-80.01093521,101.0589752,50,VPK7pUGIMRw7f1XzczqTpg,Head east on Havelock Way toward Kearsarge St,,,,,
13,1,40.43275918,-80.01036302,101.0738297,212,TwTtunCWjX4yBJuY_5DCow,Turn right onto Kearsarge St,,,,,
13,2,40.43102383,-80.01058953,229.9202728,20,3ZeogXPhaKNOPr3EEmOhKw,Keep right to continue on Grace St,,,,,
13,3,40.43090152,-80.0107349,251.0404663,860,PK4kKKdfmGVjQ-yjS615Mg,Slight right onto Woodruff St,,,,,
13,4,40.42622741,-80.01836465,248.7140808,391,5IYsx7o3MwDl-9T6j25MCw,Sharp left onto Wabash Tunnel,,,,,
13,5,40.42829346,-80.01556191,44.74029541,1533,xDrjibfwA7sEBgADqR4K2A,[goal],,,,,
14,0,40.44338246,-79.99971825,255.5729218,488,#NAME?,Head west on Penn Ave toward 7th St,,,,,
14,1,40.4416786,-80.0048595,248.2667236,151,FeGg5xlBwcs7H1yGNF3koQ,Merge onto Liberty Ave,,,,,
14,2,40.44115818,-80.00651679,250.1797333,191,gjWjEGzuux9EdquHevjYHg,Take the ramp,,,,,
14,3,40.44037223,-80.00853996,243.1823425,830,X50X4_e9BVoDL5Mv6lO2Ig,[goal],,,,,
15,0,40.43330981,-80.01513409,192.2377625,127,P6M7WfNJDvV5-awT8RAuZw,Head south on Bigham St toward W Sycamore St,,,,,
15,1,40.4321646,-80.01536621,191.620697,557,EGRcUsQ821IteqOPnFfpag,Turn right onto Virginia Ave,,,,,
15,2,40.43286638,-80.02162289,278.3474731,241,ESZHaXl69ERWnN5s1oXaAQ,Turn right onto Plymouth St,,,,,
15,3,40.43486338,-80.02140605,13.83803844,925,8nmxBPYjY_7Lje7Gk7g8kw,[goal],,,,,
16,0,40.43315617,-80.02996362,136.0552979,24,EgcJ0Ni1j1PmqIthjZBCRQ,Head southeast on McKnight St toward Minnotte Square,,,,,
16,1,40.43293883,-80.02975226,134.4659271,40,oaPZqLaRsxjJT71PFPNA-A,Turn left onto Minnotte Square,,,,,
16,2,40.43289309,-80.02948154,61.56719971,58,kG9pAOk0nUsj9WkFb5l6xA,Turn right at the 1st cross street onto Wabash St,,,,,
16,3,40.432732,-80.02896389,136.1357727,63,5EXDTl5LOxV-IhUjwvjmRg,Turn left toward Saw Mill Run Blvd,,,,,
16,4,40.43275932,-80.0284227,102.9820099,193,nNLkuc3ySiD3pqy2m9U1qQ,Turn right onto Saw Mill Run Blvd,,,,,
16,5,40.43134998,-80.02713183,130.8032837,378,mThZxVPEakgquzGdP8e3Yw,[goal],,,,,
17,0,40.43169034,-80.0103074,117.9906693,100,33HPHXcN-cMnuaIS5SSWKA,Head southeast on Beam Way toward Maple Terrace,,,,,
17,1,40.43114979,-80.00929021,117.994545,59,sZcuJB1eyhEtMdbas9Qscw,Turn right at the 1st cross street onto Maple Terrace,,,,,
17,2,40.43076473,-80.00945214,223.5735474,333,T3yjckSdEz9Bhi6AgpVknw,Turn left at the 1st cross street onto Virginia Ave,,,,,
17,3,40.42900827,-80.00649179,127.438858,43,2sC84Whx80RqcLgGRlw89g,Turn right onto Wyoming St,,,,,
17,4,40.42866623,-80.00636962,181.7857819,283,fy_LG2V_PlvDh-8h98OTyg,Turn right onto Greenbush St,,,,,
17,5,40.42706052,-80.00818164,147.3826752,818,o3pLFz2mzIAogGU3eCy_Tg,[goal],,,,,
18,0,40.43441828,-80.02040537,13.82783604,57,aEMTGecmLIYtSH2JUcxRSA,Head north on Oneida St toward Piermont St,,,,,
18,1,40.43494495,-80.02027588,13.80443382,92,C8Bj9NI2A_fWYN71TvljyA,Turn right onto Piermont St,,,,,
18,2,40.43500094,-80.01935375,97.76029968,267,n-6OLiaUoDSpPhABxLMtMg,Turn right onto Meridan St,,,,,
18,3,40.43281671,-80.01968183,192.2232361,199,OyBarhs4UXk20wBBcX2RnA,Turn left onto Virginia Ave,,,,,
18,4,40.43232183,-80.0176619,98.78445435,615,YK5iyNgqv_Q3G6Km9HJiDg,[goal],,,,,
19,0,40.43287149,-80.00591377,131.1599731,70,bSJ08N3h01ZbUrl62CNAUw,Head southeast on Wabash Tunnel toward W Carson St,,,,,
19,1,40.43267853,-80.00520879,59.24322128,18,kLG2LlfO0CqZML9XvNnWVg,Turn right onto W Carson St,,,,,
19,2,40.43276727,-80.00504489,119.7784424,88,rJ5RsakFeUqVQDg7z4DrtA,[goal],,,,,
20,0,40.4424209,-80.03099328,60.85442352,284,Lp39TqwuzmlDE1mh5oZ0JQ,Head northeast on S Main St toward Greenleaf St,,,,,
20,1,40.44358147,-80.02805576,69.60638428,866,KzcEcxkUECVJOcpeDu-29w,Turn right onto W Carson St,,,,,
20,2,40.44066212,-80.01879091,119.0271835,1150,GAG6mqDBd0DubtERaql9jw,[goal],,,,,
21,0,40.42636416,-80.01248626,270.8891602,40,3JsMm3uxLy2BKIqQuA5bJQ,Head west on Bangor St toward Natchez St,,,,,
21,1,40.4263701,-80.01286896,270.9009399,515,QJ8Mic7qLrwHTtTLyG7KJQ,Turn right onto Natchez St,,,,,
21,2,40.42922717,-80.0095459,83.96905518,116,yxCSSgbcUw9m_297mrrBlw,Turn left onto Cuthbert St,,,,,
21,3,40.42997496,-80.0086588,41.6334877,861,vbIcnKsGiROKr2lZkFW7rQ,Turn left onto Virginia Ave,,,,,
21,4,40.4323536,-80.01789291,277.730072,255,YiPAcJEwYCPcivrlJZlMww,Turn right onto Rohm Way,,,,,
21,5,40.43446375,-80.0174953,16.89403343,1787,2jXVt5D_YVCy4pNH8TSrDQ,[goal],,,,,
22,0,40.43218467,-80.01275158,198.1061401,51,Jy0nvgBhS61Xk8kiNptBtg,Head south on Ulysses St toward Virginia Ave,,,,,
22,1,40.43174835,-80.01289421,198.0923615,452,u7__s8TvEJ0YHec6bKJ6dg,Turn right onto Virginia Ave,,,,,
22,2,40.4323694,-80.01800918,277.9134827,503,C1SoMLjPegakkDkMZtZp_g,[goal],,,,,
23,0,40.42677594,-80.00985174,23.4575119,64,WTLeUxiQVZ02o8ZE5MkxTg,Head north on Norton St toward Cowan St,,,,,
23,1,40.42729288,-80.00962754,23.45035744,112,rt_t_a7DjHRC4t6F_5Olhg,Turn right onto Cowan St,,,,,
23,2,40.42754676,-80.00851624,88.94664001,7,WvrsQAafNOthh7lTKnuddw,Turn left onto Greenbush St,,,,,
23,3,40.42755198,-80.00823103,1.296934605,183,FQMc4yUtzbEGmgbJfvUmqA,[goal],,,,,
24,0,40.44281368,-79.99846169,75.28099823,80,snPsr5qfQcKAiFlP99MKbA,Head east on Liberty Ave toward 9th St,,,,,
24,1,40.44303829,-79.99761347,75.02338409,226,3E4ctOT3GDA-BlAvftU_GQ,Turn right onto Seventh Ave,,,,,
24,2,40.44228882,-79.99528457,110.496788,175,w7c_CsWB463tGsZky1ViNg,Turn right onto Grant St,,,,,
24,3,40.4409469,-79.99583289,213.4989471,74,aWLvxEXy0nJubVP7rSA5KQ,Turn left onto Sixth Avenue,,,,,
24,4,40.44058026,-79.99536384,105.4169693,434,NBBCv0k3SpNjUf2ZPYXKPA,Turn right onto Ross St,,,,,
24,5,40.43720934,-79.99670962,212.8982544,989,DKPLBCGpinr7jVCthDWBxQ,[goal],,,,,
25,0,40.43356586,-80.02825262,59.56609344,862,aTnyayd8tMnWQ3aoDzSQMQ,Head northeast on Shaler St toward Well St,,,,,
25,1,40.44015745,-80.02322433,43.01944351,874,ql9BAer6gS3E0_T5XJz5xw,Turn right onto Grandview Ave,,,,,
25,2,40.43594959,-80.01478109,117.9710236,367,VG9LxRIPIqIZ7rUI8E15Iw,Turn right onto Bigham St,,,,,
25,3,40.43276123,-80.01524712,191.1131897,2103,WVQDjs2qfaKxTJ--2XiYVw,[goal],,,,,
26,0,40.43802828,-79.99528466,269.93396,160,20Lab6rpP0L20orkITVcgw,Head west on Forbes Ave toward Ross St,,,,,
26,1,40.43860617,-79.99706398,290.766449,341,hLp7w_-dgTwOIYKpnm8qBA,Turn left at the 2nd cross street onto Grant St,,,,,
26,2,40.43623091,-79.9990447,218.4463654,232,1BCjCUgLmLxpFQzi8sqkkw,Take the ramp to I-376 / Fort Pitt Bridge / Airport,,,,,
26,3,40.43675038,-80.00139321,305.369812,230,AuFI3zAdY8zgBSd7igJv5Q,Merge onto I-376 W,,,,,
26,4,40.43771178,-80.00382945,290.6526794,58,nF9y275qjdyfSMQhfTLnIw,Take exit 70D on the left for Stanwix St,,,,,
26,5,40.4378209,-80.00442531,291.5362549,1021,YeBRpAfwkSghXqFrq9XktA,[goal],,,,,
27,0,40.4378111,-80.02277744,14.1681366,209,Vm3zevAjpAW3n2LDgrztxQ,Head north on Augusta St toward Rutledge St,,,,,
27,1,40.43957269,-80.02205699,42.49229813,381,0XYAEAvBKjdKsGDnFaskiA,Turn right onto Grandview Ave,,,,,
27,2,40.43786251,-80.01838051,117.9376755,590,aRDn0foOTQXhN2s5FaL_Sg,[goal],,,,,
28,0,40.43174575,-80.0121213,224.4165497,825,j2Zxm2tQpsvorJ7QflVMZw,Head southwest on Wabash Tunnel toward Woodruff St,,,,,
28,1,40.42610873,-80.01832873,278.8788452,614,PVdy9P0GqoaVvnqinQZfLQ,Sharp right onto Woodruff St,,,,,
28,2,40.43003318,-80.01389277,51.79803085,80,#NAME?,Turn left onto Merrimac St,,,,,
28,3,40.43072369,-80.01370568,358.8981018,145,sny7EdsBCJXgdnouLjbB6A,Turn left onto Omaha St,,,,,
28,4,40.43041281,-80.01464502,275.4492493,1664,TafY0Ua30teizKbhWT5CEA,[goal],,,,,
29,0,40.4395376,-79.99531802,209.1393127,218,EfUjhQnCGQJsWfPtSR-u0g,Head southwest on Ross St toward Fifth Ave,,,,,
29,1,40.43772393,-79.99637693,212.8383179,16,vhQ6Pu_xTI5X1UsbNa_BJQ,Turn left at the 3rd cross street onto Fourth Ave,,,,,
29,2,40.43758052,-79.99646951,110.6924744,234,tven30S2K3oIdv3F4DEocg,[goal],,,,,
30,0,40.43860589,-80.00234556,111.0770569,333,l2IPndvSeKDn5884Unkf8Q,Head southeast on Boulevard of the Allies toward Wood St,,,,,
30,1,40.43726435,-79.99881339,111.4959183,142,qEW6kMi3Tovvlt9P1SzVTA,Turn right onto Grant St,,,,,
30,2,40.43623091,-79.9990447,218.4463654,232,1BCjCUgLmLxpFQzi8sqkkw,Take the ramp to I-376 / Fort Pitt Bridge / Airport,,,,,
30,3,40.43675038,-80.00139321,305.369812,230,AuFI3zAdY8zgBSd7igJv5Q,Merge onto I-376 W,,,,,
30,4,40.43771178,-80.00382945,290.6526794,147,nF9y275qjdyfSMQhfTLnIw,Take exit 70D on the left for Stanwix St,,,,,
30,5,40.43815921,-80.00533156,291.0244141,1084,Oim-0W7Alc3Szlj1Hwyueg,[goal],,,,,
31,0,40.43663468,-80.01811973,25.36367798,83,t8qQpN-VXLrh3vVVvuDPbQ,Head north on Meridan St toward Grandview Ave,,,,,
31,1,40.43731529,-80.01779728,25.35289764,820,6vixMpwSskjnrGCAr5lcaA,Turn right onto Grandview Ave,,,,,
31,2,40.43348754,-80.01010444,124.0882797,73,m-2Oph_nAPJcikMggsHXvw,Turn right onto Kearsarge St,,,,,
31,3,40.43284517,-80.0100594,198.7173767,50,J0yruG-aMhzlLJX9PvKWLQ,Turn right onto Havelock Way,,,,,
31,4,40.43278153,-80.01047751,281.0780334,1026,79bxbrT3gHe4VkObxhrwdg,[goal],,,,,
32,0,40.4343882,-80.02152308,13.82824993,353,9yz_GnYDE0jqvAaqMid6aw,Head north on Plymouth St toward Well St,,,,,
32,1,40.43754385,-80.02076842,12.85217667,91,Tg3lDMlxynesjmRMLb6XDg,Plymouth St turns right and becomes Gilmartin Ln,,,,,
32,2,40.43759413,-80.01992946,97.12162018,92,bXnqPkkSqyJHQXjAQQ9MxA,Turn left onto Oneida St,,,,,
32,3,40.43813698,-80.01944878,36.13290787,836,LfJPz4E0EgSNXqmzy8WoFA,Turn right onto Grandview Ave,,,,,
32,4,40.43440453,-80.01140281,131.1068878,129,4-VsgnVBbDRHyQ9qfcnSCg,Turn right onto Bertha St,,,,,
32,5,40.43329026,-80.01152549,198.7290497,1501,EY28Z1Cw5jhURUSsFoEOxQ,[goal],,,,,